0E01: 3585: ก
0E02: 3586: ข
0E03: 3587: ฃ
0E04: 3588: ค
0E05: 3589: ฅ
0E06: 3590: ฆ
0E07: 3591: ง
0E08: 3592: จ
0E09: 3593: ฉ
0E0A: 3594: ช
0E0B: 3595: ซ
0E0C: 3596: ฌ
0E0D: 3597: ญ
0E0E: 3598: ฎ
0E0F: 3599: ฏ
0E10: 3600: ฐ
0E11: 3601: ฑ
0E12: 3602: ฒ
0E13: 3603: ณ
0E14: 3604: ด
0E15: 3605: ต
0E16: 3606: ถ
0E17: 3607: ท
0E18: 3608: ธ
0E19: 3609: น
0E1A: 3610: บ
0E1B: 3611: ป
0E1C: 3612: ผ
0E1D: 3613: ฝ
0E1E: 3614: พ
0E1F: 3615: ฟ
0E20: 3616: ภ
0E21: 3617: ม
0E22: 3618: ย
0E23: 3619: ร
0E24: 3620: ฤ
0E25: 3621: ล
0E26: 3622: ฦ
0E27: 3623: ว
0E28: 3624: ศ
0E29: 3625: ษ
0E2A: 3626: ส
0E2B: 3627: ห
0E2C: 3628: ฬ
0E2D: 3629: อ
